Line,Direction,StationFrom,StationTo,Distance,UnimpededRunningTime,AMPeakRunningTime,InterPeakRunningTime
District,Eastbound,Hornchurch,Upminster Bridge,1.26,1.77,2,2
District,Eastbound,Upminster Bridge,Upminster,1.24,2.32,2.03,2.01
East London ,Northbound,New Cross,Surrey Quays,2.27,3.62,4,4
East London ,Northbound,New Cross Gate,Surrey Quays,2.04,2.8,3.5,3.5
East London ,Northbound,Surrey Quays,Canada Water,0.55,1.47,1.5,1.5
East London ,Northbound,Canada Water,Rotherhithe,0.32,0.85,1,1
East London ,Northbound,Rotherhithe,Wapping,0.51,1.17,1.5,1.5
East London ,Northbound,Wapping,Shadwell,0.77,1.43,1.5,1.5
East London ,Northbound,Shadwell,Whitechapel,0.98,1.98,2.5,2.17
East London ,Northbound,Whitechapel,Shoreditch,0.72,1.85,2,2
East London ,Southbound,Shoreditch,Whitechapel,0.72,1.6,2,2
East London ,Southbound,Whitechapel,Shadwell,0.98,1.82,2,2
East London ,Southbound,Shadwell,Wapping,0.77,1.3,1.5,1.5
East London ,Southbound,Wapping,Rotherhithe,0.51,1.17,1.5,1.5
East London ,Southbound,Rotherhithe,Canada Water,0.32,0.93,1,1
East London ,Southbound,Canada Water,Surrey Quays,0.55,1.7,2,2.09
East London ,Southbound,Surrey Quays,New Cross,2.27,4.27,4.5,4.5
East London ,Southbound,Surrey Quays,New Cross Gate,2.04,3.88,3.5,3.5
